date,present,employee,attendance_rate,holiday_name,holiday_type,is_holiday,day_of_week,is_weekday,is_weekend,month,year,week_of_year,day_of_month,is_month_start,is_month_end,woy_sin,woy_cos,before_holiday,after_holiday,is_sandwich_day,lag_1,lag_7,lag_14,lag_30,rolling_7,rolling_14,rolling_30,rolling_std_7,rolling_std_14
2024-07-04,312,322,0.968944099378882,,None,0,3,1,0,7,2024,27,4,0,0,-0.12053668025532283,-0.992708874098054,0,0,0,0.9538461538461539,0.941717791411043,0.963076923076923,0.9845201238390093,0.9590935043900278,0.9678833935807162,0.9641973788218667,0.03414538290707451,0.027272887524477322
2024-07-05,306,321,0.9532710280373832,,None,0,4,1,0,7,2024,27,5,0,0,-0.12053668025532283,-0.992708874098054,0,0,0,0.968944099378882,0.904320987654321,0.9629629629629629,0.9813664596273292,0.9629829769568621,0.9683024776022845,0.9636781780065291,0.03337830104871966,0.027238405040907333
2024-07-08,312,322,0.968944099378882,,None,0,0,1,0,7,2024,28,8,0,0,-0.23931566428755743,-0.9709418174260521,0,1,1,1.0,0.9444444444444444,0.9690402476780186,1.0,0.969975839868728,0.9676101965361718,0.9653216429803628,0.02234374605397796,0.027506396089243428
2024-07-09,318,325,0.9784615384615385,,None,0,1,1,0,7,2024,28,9,0,0,-0.23931566428755743,-0.9709418174260521,0,0,0,0.968944099378882,0.9693251533742331,0.9723076923076923,1.0,0.9734757905736477,0.967603328800519,0.9642864462929921,0.019403275831317617,0.027506023572249502
2024-07-10,313,323,0.9690402476780186,,None,0,2,1,0,7,2024,28,10,0,0,-0.23931566428755743,-0.9709418174260521,0,0,0,0.9784615384615385,0.9538461538461539,0.9693251533742331,0.96,0.9747809884432627,0.9680428892400796,0.9635684975750434,0.019384821297455442,0.027635849097695207
2024-07-11,317,325,0.9753846153846154,,None,0,3,1,0,7,2024,28,11,0,0,-0.23931566428755743,-0.9709418174260521,0,0,0,0.9690402476780186,0.968944099378882,0.941717791411043,0.9723926380368099,0.9769515732763864,0.9680225388332071,0.9638698391643107,0.01739892964000301,0.027634937118625077
2024-07-12,308,325,0.9476923076923077,,None,0,4,1,0,7,2024,28,12,0,0,-0.23931566428755743,-0.9709418174260521,0,0,0,0.9753846153846154,0.9532710280373832,0.904320987654321,0.9753846153846154,0.9778716469914911,0.9704273119741765,0.9639695717425708,0.01707213365416212,0.02661588031510842
2024-07-15,311,326,0.9539877300613497,,None,0,0,1,0,7,2024,29,15,0,0,-0.3546048870425356,-0.9350162426854148,0,0,0,1.0,0.968944099378882,0.9444444444444444,1.0,0.9770746869421946,0.9735252634054614,0.969539124359939,0.01848378810111821,0.02004176056667026
2024-07-16,317,325,0.9753846153846154,,None,0,1,1,0,7,2024,29,16,0,0,-0.3546048870425356,-0.9350162426854148,0,0,0,0.9539877300613497,0.9784615384615385,0.9693251533742331,1.0588235294117647,0.9749380627539755,0.9742069266638118,0.9680053820286507,0.02035046075990961,0.019117559460656266
2024-07-17,315,326,0.9662576687116564,,None,0,2,1,0,7,2024,29,17,0,0,-0.3546048870425356,-0.9350162426854148,0,0,0,0.9753846153846154,0.9690402476780186,0.9538461538461539,0.9090909090909091,0.9744985023144154,0.974639745378839,0.9652240848944124,0.02029482509316796,0.019067061062357376
2024-07-18,318,326,0.9754601226993865,,None,0,3,1,0,7,2024,29,18,0,0,-0.3546048870425356,-0.9350162426854148,0,0,0,0.9662576687116564,0.9753846153846154,0.968944099378882,0.8492307692307692,0.9741009910335064,0.9755262821549463,0.9671296435484374,0.020446239432705536,0.01829894726748079
2024-07-19,319,326,0.9785276073619632,,None,0,4,1,0,7,2024,29,19,0,0,-0.3546048870425356,-0.9350162426854148,0,0,0,0.9754601226993865,0.9476923076923077,0.9532710280373832,0.9569230769230769,0.9741117777927594,0.9759917123921253,0.9713372886640579,0.02044704939825609,0.01820125865675456
2024-07-22,308,326,0.9447852760736196,,None,0,0,1,0,7,2024,30,22,0,0,-0.46472317204376806,-0.8854560256532101,0,0,0,1.0,0.9539877300613497,0.968944099378882,1.0,0.9785168206027102,0.9777957537724523,0.9745227768106913,0.016803627137523616,0.016987219106172066
2024-07-23,313,324,0.9660493827160493,,None,0,1,1,0,7,2024,30,23,0,0,-0.46472317204376806,-0.8854560256532101,0,0,0,0.9447852760736196,0.9753846153846154,0.9784615384615385,1.0,0.9772021843187487,0.9760701235363622,0.9726822860131452,0.01922764608352387,0.01905660318616067
2024-07-24,313,324,0.9660493827160493,,None,0,2,1,0,7,2024,30,24,0,0,-0.46472317204376806,-0.8854560256532101,0,0,0,0.9660493827160493,0.9662576687116564,0.9690402476780186,0.9690402476780186,0.9758685796518106,0.975183540983113,0.971550598770347,0.019692833554301674,0.01922477489203733
2024-07-25,317,325,0.9753846153846154,,None,0,3,1,0,7,2024,30,25,0,0,-0.46472317204376806,-0.8854560256532101,0,0,0,0.9660493827160493,0.9754601226993865,0.9753846153846154,0.9723076923076923,0.9758388245095811,0.9749699077715438,0.9714509032716147,0.019709925512157757,0.019314700364014826
2024-07-26,312,324,0.9629629629629629,,None,0,4,1,0,7,2024,30,26,0,0,-0.46472317204376806,-0.8854560256532101,0,0,0,0.9753846153846154,0.9785276073619632,0.9476923076923077,0.9693251533742331,0.9758280377503281,0.9749699077715438,0.9715534673741787,0.01971018796865289,0.019314700364014826
2024-07-29,311,322,0.9658385093167702,,None,0,0,1,0,7,2024,31,29,0,0,-0.5680647467311556,-0.8229838658936565,0,0,0,1.0,0.9447852760736196,0.9539877300613497,1.0,0.9736045171218995,0.9760606688623048,0.9764734350582909,0.02022606908529536,0.018045225392214474
2024-07-30,319,323,0.9876160990712074,,None,0,1,1,0,7,2024,31,30,0,0,-0.5680647467311556,-0.8229838658936565,0,0,0,0.9658385093167702,0.9660493827160493,0.9753846153846154,1.0,0.976612121870921,0.9769071530948349,0.9753347187021831,0.016436776053538202,0.01718773823578989
2024-07-31,322,325,0.9907692307692307,,None,0,2,1,0,7,2024,31,31,0,1,-0.5680647467311556,-0.8229838658936565,0,0,0,0.9876160990712074,0.9660493827160493,0.9662576687116564,0.9444444444444444,0.9796930813502293,0.97778083050102,0.9749219220045567,0.016145564503311904,0.01741377775810153
2024-08-01,319,324,0.9845679012345679,,None,0,3,1,0,8,2024,31,1,1,0,-0.5680647467311556,-0.8229838658936565,0,0,0,0.9907692307692307,0.9753846153846154,0.9754601226993865,0.9693251533742331,0.9832244882149694,0.9795316563622753,0.9764660815487164,0.015347693915835618,0.017398309671796418
2024-08-02,319,325,0.9815384615384616,,None,0,4,1,0,8,2024,31,2,0,0,-0.5680647467311556,-0.8229838658936565,0,0,0,0.9845679012345679,0.9629629629629629,0.9785276073619632,0.9538461538461539,0.9845363861935341,0.9801822119719311,0.9769741731440609,0.014953282079012248,0.017404633760300547
2024-08-05,308,324,0.9506172839506173,,None,0,0,1,0,8,2024,32,5,0,0,-0.663122658240795,-0.7485107481711013,0,0,0,1.0,0.9658385093167702,0.9447852760736196,1.0,0.9871900288471769,0.9803972729845382,0.9804900791532621,0.011803149979466004,0.01740121740085997
2024-08-06,319,326,0.9785276073619632,,None,0,1,1,0,8,2024,32,6,0,0,-0.663122658240795,-0.7485107481711013,0,0,0,0.9506172839506173,0.9876160990712074,0.9660493827160493,1.0,0.9850155680805835,0.9808138449757523,0.9788439886182828,0.016755429081643392,0.016531170425218338
2024-08-07,322,326,0.9877300613496932,,None,0,2,1,0,8,2024,32,7,0,0,-0.663122658240795,-0.7485107481711013,0,0,0,0.9785276073619632,0.9907692307692307,0.9660493827160493,0.968944099378882,0.9837172121221202,0.9817051467361747,0.978128242197015,0.0168720538057705,0.016001803783356708
2024-08-08,318,326,0.9754601226993865,,None,0,3,1,0,8,2024,32,8,0,0,-0.663122658240795,-0.7485107481711013,0,0,0,0.9877300613496932,0.9845679012345679,0.9753846153846154,0.9784615384615385,0.9832830450621862,0.9832537666385778,0.9787544409293752,0.016698551246647104,0.015408219421889767
2024-08-09,313,325,0.963076923076923,,None,0,4,1,0,8,2024,32,9,0,0,-0.663122658240795,-0.7485107481711013,0,0,0,0.9754601226993865,0.9815384615384616,0.9629629629629629,0.9690402476780186,0.9819819338428746,0.9832591600182043,0.9786543937373036,0.016934908269099703,0.015405266012593163
2024-08-12,311,328,0.948170731707317,,None,0,0,1,0,8,2024,33,12,0,0,-0.7485107481711011,-0.6631226582407952,0,0,0,1.0,0.9506172839506173,0.9658385093167702,1.0,0.9793445712055119,0.9832673000263444,0.981019718814703,0.01839048531671631,0.015393742528294329
2024-08-13,324,328,0.9878048780487805,,None,0,1,1,0,8,2024,33,13,0,0,-0.7485107481711011,-0.6631226582407952,0,0,0,0.948170731707317,0.9785276073619632,0.9876160990712074,1.0,0.9789950637421833,0.9820053159113834,0.9792920765382802,0.019039239519440154,0.01751106227248417
2024-08-14,319,327,0.9755351681957186,,None,0,2,1,0,8,2024,33,14,0,0,-0.7485107481711011,-0.6631226582407952,0,0,0,0.9878048780487805,0.9877300613496932,0.9907692307692307,0.9539877300613497,0.9803203881260144,0.9820188001240673,0.9788855724732396,0.019322071871585828,0.01751578719244601
2024-08-15,319,328,0.9725609756097561,,None,0,3,1,0,8,2024,33,15,0,0,-0.7485107481711011,-0.6631226582407952,0,0,0,0.9755351681957186,0.9754601226993865,0.9845679012345679,0.9753846153846154,0.9785782605325893,0.9809306527973877,0.9796038204110518,0.019091030970508665,0.01740319810279435
